firm,date,amount,party,ideology_score
Falcon Semiconductor,2012-03-23,1591.3,R,0.16770146378342482
Aspire Automotive,2013-07-10,394.68,R,-0.35502088901491985
Redwood Partners,2016-07-13,947.35,R,-0.41854096357774834
Summit Technologies,2020-03-08,2531.98,D,-0.6074794771416165
Harbor Retail Group,2014-06-09,1708.28,D,0.18917697133120992
Falcon Semiconductor,2015-12-17,743.73,R,0.16770146378342482
SummitLine Logistics,2016-06-22,2099.35,R,-0.6131155245656207
Highland Logistics,2016-02-09,2332.25,R,-0.20675394355677812
UrbanStar Retail,2019-09-10,910.55,D,0.02898247316376057
Omega Health,2022-11-26,788.47,R,-0.17762111751192633
PrimeHealth Corporation,2024-08-12,1960.98,D,0.09481580189139682
Highland Logistics,2024-03-28,435.98,D,-0.20675394355677812
SummitLine Logistics,2017-06-23,516.56,D,-0.6131155245656207
Greenfield Manufacturing,2021-02-10,2081.81,D,-0.2359265237170345
Riverstone Technologies,2010-10-28,665.71,D,-0.23339868032552136
Mosaic Consumer Goods,2019-01-25,783.43,R,0.08298082509351284
Everton Technologies,2014-03-17,1196.52,D,-0.37360829603310824
AmeriCore Energy,2011-02-27,2495.16,R,0.7811810347855594
Ironwood Aerospace,2020-11-14,588.53,R,0.23918635548065395
Atlas Health,2013-07-21,2387.56,R,-0.3304489338964671
Brightline Capital,2012-07-18,1175.2,D,-0.7954508682253574
Mosaic Consumer Goods,2016-07-18,1352.43,D,0.08298082509351284
UrbanStar Retail,2020-08-04,901.35,D,0.02898247316376057
Redwood Partners,2023-06-12,647.27,D,-0.41854096357774834
UrbanStar Retail,2015-12-29,443.27,D,0.02898247316376057
SummitLine Logistics,2023-01-03,5827.02,R,-0.6131155245656207
NorthStar Retail Group,2017-09-28,439.42,D,-0.21768137947876254
Heritage Automotive,2017-03-21,1206.83,D,-0.3113024235082412
Everton Technologies,2015-03-29,1908.12,R,-0.37360829603310824
Cobalt Holdings,2018-08-29,4051.35,D,-0.34637523032738454
NorthStar Retail Group,2010-10-31,1360.09,D,-0.21768137947876254
Aurora Networks,2019-11-16,2517.75,D,-0.5046547262203107
Sterling Logistics,2019-03-13,910.18,D,-0.17547430260660823
Everton Technologies,2015-12-12,501.5,D,-0.37360829603310824
Heritage Automotive,2017-05-15,959.24,D,-0.3113024235082412
Cobalt Holdings,2024-01-22,2644.96,D,-0.34637523032738454
Equinox Manufacturing,2023-11-07,1062.59,D,-0.6370463795472789
Harbor Retail Group,2015-02-07,1496.28,R,0.18917697133120992
Omega Health,2013-09-24,1439.72,R,-0.17762111751192633
Vanguard Networks,2011-04-05,474.73,D,-0.7441456161534608
Riverstone Technologies,2019-03-30,982.27,R,-0.23339868032552136
Vector Automotive,2023-09-02,688.32,D,-0.2194167350229036
Everton Technologies,2023-01-30,1699.01,D,-0.37360829603310824
Crescent Automotive,2024-12-15,1489.85,D,-0.7791419463933508
Apex Systems,2022-04-05,1034.24,D,-0.3524012410794814
Northbridge Holdings,2016-10-10,1670.3,R,-0.6469534176374777
BlueRiver Manufacturing,2016-08-20,878.1,D,-0.7814248212212955
Vanguard Networks,2011-02-06,587.63,D,-0.7441456161534608
Arclight Manufacturing,2016-06-02,1052.58,D,-0.6856182543666501
Horizon Capital,2024-04-12,1337.44,D,-0.5446174747209411
BlueRiver Manufacturing,2024-10-14,2356.51,D,-0.7814248212212955
Titan Aerospace,2024-06-30,5401.11,D,0.30257157452147504
Summit Technologies,2012-12-12,926.09,D,-0.6074794771416165
Frontier Semiconductor,2014-07-03,768.15,D,0.5736896411960379
Aurora Networks,2021-04-03,2237.02,D,-0.5046547262203107
Arclight Manufacturing,2012-08-01,164.32,D,-0.6856182543666501
Mosaic Consumer Goods,2018-11-30,5261.62,D,0.08298082509351284
Cobalt Holdings,2010-04-25,507.73,D,-0.34637523032738454
Skyline Retail,2015-11-18,928.94,D,-0.22364750236744266
PrimeHealth Corporation,2015-03-31,1428.98,R,0.09481580189139682
EaglePeak Aerospace,2023-09-07,3140.19,R,0.6649897912920661
SilverRock Solutions,2016-10-11,1485.51,D,-0.34508089355433375
TerraLine Logistics,2012-03-07,690.19,D,-0.7679229314410365
Redwood Partners,2022-02-12,492.36,D,-0.41854096357774834
Sapphire Energy,2023-10-23,3356.52,D,0.16492209036610356
Sapphire Energy,2014-11-15,466.84,D,0.16492209036610356
Highland Logistics,2018-03-29,666.98,D,-0.20675394355677812
NovaBridge Partners,2016-03-10,1319.66,D,-0.5350259359541526
BlueRiver Manufacturing,2024-05-05,588.54,D,-0.7814248212212955
United Semiconductor,2012-10-28,487.96,D,0.7031948302175441
NextWave Semiconductor,2015-03-24,700.28,R,0.3591266769818179
Heritage Automotive,2016-03-21,2586.19,D,-0.3113024235082412
Cobalt Holdings,2010-07-31,1640.49,D,-0.34637523032738454
Aurora Networks,2017-04-06,1731.87,R,-0.5046547262203107
Pioneer Energy,2020-09-06,1240.37,R,0.11750752865586686
Highland Logistics,2021-04-20,1116.38,D,-0.20675394355677812
SilverRock Solutions,2020-04-10,2754.25,D,-0.34508089355433375
TerraLine Logistics,2019-01-04,398.52,D,-0.7679229314410365
Falcon Semiconductor,2011-08-26,963.51,D,0.16770146378342482
Infinity Partners,2016-03-02,1260.41,R,-0.2896112414347556
Centurion Capital,2023-05-26,1195.18,D,-0.39585349832026656
AmeriCore Energy,2012-07-26,1109.54,R,0.7811810347855594
Cobalt Holdings,2014-10-28,3013.77,D,-0.34637523032738454
Falcon Semiconductor,2020-03-04,669.68,R,0.16770146378342482
GoldenGate Networks,2024-12-01,469.54,D,-0.5643838184211613
Skyline Retail,2022-06-24,5031.46,R,-0.22364750236744266
Liberty Capital,2012-09-28,1224.55,D,-0.6437524832958241
Sapphire Energy,2011-02-26,2428.71,R,0.16492209036610356
Riverstone Technologies,2014-10-09,719.04,D,-0.23339868032552136
Crescent Automotive,2022-06-23,756.47,D,-0.7791419463933508
Evercrest Systems,2019-08-17,777.73,R,-0.6911643501317529
Cobalt Holdings,2024-05-31,2563.14,D,-0.34637523032738454
Quantum Systems,2016-12-06,779.97,R,-0.41357155810874113
Arclight Manufacturing,2013-03-08,1252.52,D,-0.6856182543666501
Omega Health,2017-08-24,608.11,D,-0.17762111751192633
Northbridge Holdings,2022-09-24,3613.49,D,-0.6469534176374777
United Semiconductor,2016-02-08,1692.62,R,0.7031948302175441
Highland Logistics,2016-02-16,1063.31,D,-0.20675394355677812
Ironwood Aerospace,2016-05-09,486.15,D,0.23918635548065395
Titan Aerospace,2011-01-08,1045.0,D,0.30257157452147504
SilverRock Solutions,2016-10-05,1236.7,D,-0.34508089355433375
Ironwood Aerospace,2012-09-09,1713.76,D,0.23918635548065395
Apex Systems,2021-12-11,996.62,D,-0.3524012410794814
Equinox Manufacturing,2017-12-11,1356.2,D,-0.6370463795472789
Harbor Retail Group,2020-04-24,1836.39,R,0.18917697133120992
Arclight Manufacturing,2019-01-27,740.0,R,-0.6856182543666501
Equinox Manufacturing,2017-04-14,717.06,D,-0.6370463795472789
Northbridge Holdings,2018-02-12,2551.64,D,-0.6469534176374777
Frontier Semiconductor,2018-12-25,474.04,R,0.5736896411960379
AmeriCore Energy,2011-09-18,241.36,R,0.7811810347855594
UrbanStar Retail,2017-11-02,1147.79,D,0.02898247316376057
Cypress Health,2014-06-05,756.69,D,-0.1277995867856065
Oakstone Industries,2013-12-22,2716.48,D,-0.4462512983276463
Horizon Capital,2022-12-31,993.05,D,-0.5446174747209411
Highland Logistics,2024-01-04,3964.35,D,-0.20675394355677812
Greenfield Manufacturing,2011-07-14,1312.82,D,-0.2359265237170345
EaglePeak Aerospace,2011-04-06,791.19,R,0.6649897912920661
Cypress Health,2011-04-12,723.86,D,-0.1277995867856065
Evercrest Systems,2021-05-16,3321.71,D,-0.6911643501317529
Mountain Ridge Industries,2010-12-03,1500.14,D,-0.12995084945525315
Highland Logistics,2023-07-28,1219.27,D,-0.20675394355677812
EaglePeak Aerospace,2017-09-14,2981.98,R,0.6649897912920661
Equinox Manufacturing,2019-10-27,1316.36,R,-0.6370463795472789
Highland Logistics,2016-05-06,1349.24,D,-0.20675394355677812
Mountain Ridge Industries,2024-02-25,676.75,R,-0.12995084945525315
TerraLine Logistics,2018-09-02,690.44,D,-0.7679229314410365
Riverstone Technologies,2011-10-30,1267.95,R,-0.23339868032552136
PrimeHealth Corporation,2024-09-18,2265.49,D,0.09481580189139682
Vanguard Networks,2011-11-26,237.38,D,-0.7441456161534608
Brightline Capital,2012-11-12,1417.44,D,-0.7954508682253574
NorthStar Retail Group,2010-05-30,1663.14,D,-0.21768137947876254
Evercrest Systems,2020-11-27,2497.54,D,-0.6911643501317529
BlueRiver Manufacturing,2012-12-09,473.99,D,-0.7814248212212955
United Semiconductor,2013-09-18,6032.14,R,0.7031948302175441
BluePeak Technologies,2015-04-30,787.79,D,-0.7292989994131897
Highland Logistics,2015-04-01,4455.49,D,-0.20675394355677812
NovaBridge Partners,2022-10-17,2001.99,D,-0.5350259359541526
Highland Logistics,2021-10-30,717.69,D,-0.20675394355677812
Sapphire Energy,2024-05-19,614.63,D,0.16492209036610356
EaglePeak Aerospace,2021-07-28,1179.66,D,0.6649897912920661
Cobalt Holdings,2019-10-24,967.72,R,-0.34637523032738454
Frontier Semiconductor,2017-11-03,596.96,D,0.5736896411960379
Orbit Semiconductor,2015-04-16,373.42,R,0.3656188092303535
Mountain Ridge Industries,2012-03-22,939.58,D,-0.12995084945525315
Vertex Energy,2010-11-10,869.9,R,0.7556582113987458
Riverstone Technologies,2020-07-09,901.58,D,-0.23339868032552136
Highland Logistics,2023-08-28,734.0,D,-0.20675394355677812
AmeriCore Energy,2012-09-25,1694.3,R,0.7811810347855594
Liberty Capital,2011-05-30,1706.82,D,-0.6437524832958241
Atlas Health,2024-03-04,1096.15,D,-0.3304489338964671
UrbanStar Retail,2010-01-13,1588.11,D,0.02898247316376057
Centurion Capital,2024-12-27,1217.33,D,-0.39585349832026656
Frontier Semiconductor,2021-05-21,1405.07,R,0.5736896411960379
Quantum Systems,2010-05-14,882.93,R,-0.41357155810874113
Cypress Health,2024-02-03,545.73,D,-0.1277995867856065
Sterling Logistics,2010-12-30,1674.26,D,-0.17547430260660823
Cypress Health,2020-06-03,1730.89,D,-0.1277995867856065
Vanguard Networks,2020-04-07,705.56,D,-0.7441456161534608
Summit Technologies,2022-03-07,5993.14,D,-0.6074794771416165
EaglePeak Aerospace,2018-01-03,1597.24,R,0.6649897912920661
Everton Technologies,2012-10-16,2116.51,D,-0.37360829603310824
Paramount Systems,2014-03-11,2374.75,D,-0.6533450784599586
MetroTech Solutions,2015-12-25,499.77,D,-0.28918774931432745
Paramount Systems,2014-01-18,935.21,R,-0.6533450784599586
NovaBridge Partners,2016-08-18,539.11,D,-0.5350259359541526
Brightline Capital,2019-12-16,1500.65,D,-0.7954508682253574
Cypress Health,2024-05-05,1399.8,D,-0.1277995867856065
NextWave Semiconductor,2018-02-24,268.32,D,0.3591266769818179
UrbanStar Retail,2019-10-30,367.55,D,0.02898247316376057
Summit Technologies,2018-02-14,448.78,R,-0.6074794771416165
Mountain Ridge Industries,2019-12-16,996.65,D,-0.12995084945525315
Aspire Automotive,2017-01-19,551.54,R,-0.35502088901491985
TerraLine Logistics,2022-08-07,501.81,D,-0.7679229314410365
Atlas Health,2023-09-22,652.06,R,-0.3304489338964671
Riverstone Technologies,2011-12-21,278.26,D,-0.23339868032552136
Paramount Systems,2017-10-17,2017.91,D,-0.6533450784599586
Equinox Manufacturing,2013-07-14,1747.65,R,-0.6370463795472789
Equinox Manufacturing,2018-02-09,1467.21,D,-0.6370463795472789
UrbanStar Retail,2018-02-04,587.09,R,0.02898247316376057
Quantum Systems,2012-11-29,109.5,D,-0.41357155810874113
Centurion Capital,2020-09-26,461.06,D,-0.39585349832026656
AmeriCore Energy,2012-10-23,849.08,R,0.7811810347855594
Greenfield Manufacturing,2017-09-23,908.87,D,-0.2359265237170345
Aurora Networks,2014-01-30,2791.55,D,-0.5046547262203107
Horizon Capital,2011-03-30,443.08,D,-0.5446174747209411
Vertex Energy,2017-03-28,665.93,R,0.7556582113987458
Orbit Semiconductor,2022-05-10,482.68,D,0.3656188092303535
Longview Energy,2021-04-10,660.14,R,0.5124859787131362
TerraLine Logistics,2023-07-29,2169.64,D,-0.7679229314410365
Heritage Automotive,2010-08-21,1697.89,D,-0.3113024235082412
Frontier Semiconductor,2024-08-09,1638.21,R,0.5736896411960379
Ironwood Aerospace,2021-03-03,830.92,D,0.23918635548065395
Millennium Retail Group,2019-02-09,987.46,D,-0.26308908144152243
Brightline Capital,2019-04-28,1435.16,D,-0.7954508682253574
EaglePeak Aerospace,2017-02-28,876.46,R,0.6649897912920661
BluePeak Technologies,2018-04-24,805.27,D,-0.7292989994131897
UrbanStar Retail,2016-01-01,729.87,D,0.02898247316376057
Highland Logistics,2018-08-13,554.38,R,-0.20675394355677812
Everton Technologies,2022-12-16,597.28,D,-0.37360829603310824
BluePeak Technologies,2021-07-18,2058.56,D,-0.7292989994131897
Mosaic Consumer Goods,2015-05-27,3232.8,R,0.08298082509351284
Ironwood Aerospace,2023-05-27,515.84,R,0.23918635548065395
Millennium Retail Group,2010-03-08,1465.66,D,-0.26308908144152243
Cobalt Holdings,2018-03-16,603.25,R,-0.34637523032738454
Aspire Automotive,2016-06-22,1232.07,D,-0.35502088901491985
Harbor Retail Group,2023-12-24,960.6,R,0.18917697133120992
Titan Aerospace,2013-03-27,1223.5,R,0.30257157452147504
BlueRiver Manufacturing,2010-11-15,969.34,D,-0.7814248212212955
Aurora Networks,2013-05-05,2343.52,D,-0.5046547262203107
United Semiconductor,2023-10-30,765.87,D,0.7031948302175441
Omega Health,2021-06-07,1378.08,D,-0.17762111751192633
NovaBridge Partners,2010-05-17,1266.36,D,-0.5350259359541526
Evercrest Systems,2016-11-25,491.02,D,-0.6911643501317529
NextWave Semiconductor,2023-05-22,3660.2,D,0.3591266769818179
EaglePeak Aerospace,2011-02-25,1238.92,R,0.6649897912920661
PrimeHealth Corporation,2018-07-12,1217.27,R,0.09481580189139682
Crescent Automotive,2012-06-19,531.5,D,-0.7791419463933508
BlueRiver Manufacturing,2014-07-29,842.47,R,-0.7814248212212955
Sapphire Energy,2011-05-26,1412.83,R,0.16492209036610356
Equinox Manufacturing,2024-11-07,651.52,R,-0.6370463795472789
EaglePeak Aerospace,2021-12-16,836.72,R,0.6649897912920661
Heritage Automotive,2024-06-05,5408.82,D,-0.3113024235082412
Paramount Systems,2015-07-13,1291.62,D,-0.6533450784599586
Longview Energy,2014-08-26,779.13,R,0.5124859787131362
Vanguard Networks,2016-02-19,782.59,D,-0.7441456161534608
Riverstone Technologies,2018-11-07,1543.69,R,-0.23339868032552136
SummitLine Logistics,2010-12-11,1610.32,D,-0.6131155245656207
Riverstone Technologies,2014-10-19,2301.5,D,-0.23339868032552136
BlueRiver Manufacturing,2016-02-04,585.51,D,-0.7814248212212955
Aurora Networks,2011-02-20,1604.02,R,-0.5046547262203107
NorthStar Retail Group,2012-03-31,713.79,D,-0.21768137947876254
Sapphire Energy,2013-01-31,988.37,R,0.16492209036610356
Apex Systems,2020-09-01,5106.84,D,-0.3524012410794814
EaglePeak Aerospace,2016-05-27,1687.77,R,0.6649897912920661
TerraLine Logistics,2015-03-18,2774.17,R,-0.7679229314410365
NovaBridge Partners,2013-12-11,2616.18,D,-0.5350259359541526
Orbit Semiconductor,2021-02-10,2951.61,D,0.3656188092303535
Oakstone Industries,2017-07-07,1201.62,D,-0.4462512983276463
Riverstone Technologies,2013-01-04,1566.73,D,-0.23339868032552136
Cobalt Holdings,2017-06-01,263.26,D,-0.34637523032738454
Northbridge Holdings,2010-04-26,2064.83,D,-0.6469534176374777
Omega Health,2014-05-02,514.92,R,-0.17762111751192633
Oakstone Industries,2019-08-05,1451.3,D,-0.4462512983276463
UrbanStar Retail,2013-02-25,961.37,R,0.02898247316376057
EaglePeak Aerospace,2015-04-14,728.29,R,0.6649897912920661
Highland Logistics,2022-11-07,2394.86,D,-0.20675394355677812
Apex Systems,2024-12-23,879.32,R,-0.3524012410794814
Atlas Health,2016-12-22,298.36,D,-0.3304489338964671
Vanguard Networks,2023-10-15,2228.0,R,-0.7441456161534608
SilverRock Solutions,2023-08-03,652.21,R,-0.34508089355433375
Evercrest Systems,2022-01-21,1226.27,D,-0.6911643501317529
Paramount Systems,2023-05-13,699.7,D,-0.6533450784599586
Everton Technologies,2018-02-11,1170.19,D,-0.37360829603310824
Harbor Retail Group,2022-01-14,2011.04,D,0.18917697133120992
Crescent Automotive,2014-08-10,2351.17,D,-0.7791419463933508
Equinox Manufacturing,2011-04-01,402.11,D,-0.6370463795472789
Mosaic Consumer Goods,2022-07-14,868.79,R,0.08298082509351284
Mosaic Consumer Goods,2019-07-03,760.93,D,0.08298082509351284
Cypress Health,2011-07-20,1155.86,D,-0.1277995867856065
Orbit Semiconductor,2013-01-14,802.88,R,0.3656188092303535
Horizon Capital,2020-01-23,273.87,D,-0.5446174747209411
Everton Technologies,2024-11-04,934.54,D,-0.37360829603310824
Everton Technologies,2014-01-02,1454.89,D,-0.37360829603310824
NovaBridge Partners,2016-09-10,5704.83,D,-0.5350259359541526
Mosaic Consumer Goods,2015-02-25,1229.09,D,0.08298082509351284
Redwood Partners,2012-07-13,658.3,D,-0.41854096357774834
Summit Technologies,2010-05-09,724.48,D,-0.6074794771416165
Redwood Partners,2011-02-03,1629.06,R,-0.41854096357774834
Redwood Partners,2014-11-15,940.78,D,-0.41854096357774834
Aspire Automotive,2016-06-27,374.78,D,-0.35502088901491985
SilverRock Solutions,2023-05-31,1649.45,D,-0.34508089355433375
Horizon Capital,2013-03-19,805.58,D,-0.5446174747209411
NorthStar Retail Group,2022-06-27,950.31,D,-0.21768137947876254
PrimeHealth Corporation,2019-08-01,4111.33,D,0.09481580189139682
Quantum Systems,2017-02-24,2865.84,D,-0.41357155810874113
Vanguard Networks,2022-01-24,558.04,D,-0.7441456161534608
EaglePeak Aerospace,2011-04-18,495.04,R,0.6649897912920661
Quantum Systems,2018-09-17,885.97,D,-0.41357155810874113
Redwood Partners,2020-02-02,878.9,R,-0.41854096357774834
Cobalt Holdings,2011-02-27,1409.3,D,-0.34637523032738454
Longview Energy,2011-08-20,1250.43,R,0.5124859787131362
BlueRiver Manufacturing,2014-11-13,1510.39,D,-0.7814248212212955
EaglePeak Aerospace,2010-05-06,2211.6,R,0.6649897912920661
Ironwood Aerospace,2014-08-03,502.01,D,0.23918635548065395
GoldenGate Networks,2018-07-16,1448.95,D,-0.5643838184211613
Mosaic Consumer Goods,2021-07-02,872.29,R,0.08298082509351284
Millennium Retail Group,2014-07-23,872.53,D,-0.26308908144152243
Evercrest Systems,2019-05-14,1279.09,D,-0.6911643501317529
Riverstone Technologies,2015-07-07,788.83,R,-0.23339868032552136
MetroTech Solutions,2020-12-16,2450.18,D,-0.28918774931432745
BluePeak Technologies,2017-11-25,1081.84,D,-0.7292989994131897
Northbridge Holdings,2022-02-28,1174.39,R,-0.6469534176374777
TerraLine Logistics,2011-09-01,1311.17,D,-0.7679229314410365
SummitLine Logistics,2024-02-23,1882.24,D,-0.6131155245656207
SilverRock Solutions,2020-03-24,641.37,R,-0.34508089355433375
Evercrest Systems,2016-02-29,984.09,R,-0.6911643501317529
NovaBridge Partners,2014-01-08,3223.44,D,-0.5350259359541526
Sterling Logistics,2023-11-26,1139.77,D,-0.17547430260660823
AmeriCore Energy,2011-10-10,467.59,R,0.7811810347855594
Evercrest Systems,2015-01-25,1027.56,D,-0.6911643501317529
Brightline Capital,2024-07-29,3664.43,D,-0.7954508682253574
Aspire Automotive,2020-09-04,913.58,R,-0.35502088901491985
Liberty Capital,2019-09-25,1430.17,D,-0.6437524832958241
